"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
14154,"Kevin De Bruyne",2010-01-01,0,0,0
14154,"Kevin De Bruyne",2010-01-02,0,0,0
14154,"Kevin De Bruyne",2010-01-03,0,0,0
14154,"Kevin De Bruyne",2010-01-04,0,0,0
14154,"Kevin De Bruyne",2010-01-05,0,0,0
14154,"Kevin De Bruyne",2010-01-06,0,0,0
14154,"Kevin De Bruyne",2010-01-07,0,0,0
14154,"Kevin De Bruyne",2010-01-08,0,0,0
14154,"Kevin De Bruyne",2010-01-09,0,0,0
14154,"Kevin De Bruyne",2010-01-10,1,0,0
14154,"Kevin De Bruyne",2010-01-11,0,0,0
14154,"Kevin De Bruyne",2010-01-12,0,0,0
14154,"Kevin De Bruyne",2010-01-13,0,0,0
14154,"Kevin De Bruyne",2010-01-14,0,0,0
14154,"Kevin De Bruyne",2010-01-15,0,0,0
14154,"Kevin De Bruyne",2010-01-16,0,0,0
14154,"Kevin De Bruyne",2010-01-17,0,0,0
14154,"Kevin De Bruyne",2010-01-18,0,0,0
14154,"Kevin De Bruyne",2010-01-19,0,0,0
14154,"Kevin De Bruyne",2010-01-20,0,0,0
14154,"Kevin De Bruyne",2010-01-21,0,0,0
14154,"Kevin De Bruyne",2010-01-22,0,0,0
14154,"Kevin De Bruyne",2010-01-23,0,1,0
14154,"Kevin De Bruyne",2010-01-24,0,0,0
14154,"Kevin De Bruyne",2010-01-25,0,0,0
14154,"Kevin De Bruyne",2010-01-26,0,0,0
14154,"Kevin De Bruyne",2010-01-27,0,0,0
14154,"Kevin De Bruyne",2010-01-28,0,0,0
14154,"Kevin De Bruyne",2010-01-29,0,0,0
14154,"Kevin De Bruyne",2010-01-30,0,0,0
14154,"Kevin De Bruyne",2010-01-31,0,0,0
14154,"Kevin De Bruyne",2010-02-01,0,0,0
14154,"Kevin De Bruyne",2010-02-02,0,0,0
14154,"Kevin De Bruyne",2010-02-03,0,0,0
14154,"Kevin De Bruyne",2010-02-04,0,0,0
14154,"Kevin De Bruyne",2010-02-05,0,0,0
14154,"Kevin De Bruyne",2010-02-06,0,0,0
14154,"Kevin De Bruyne",2010-02-07,8,9,4
14154,"Kevin De Bruyne",2010-02-08,0,9,7
14154,"Kevin De Bruyne",2010-02-09,0,2,9
14154,"Kevin De Bruyne",2010-02-10,0,0,0
14154,"Kevin De Bruyne",2010-02-11,1,0,0
14154,"Kevin De Bruyne",2010-02-12,0,1,1
14154,"Kevin De Bruyne",2010-02-13,0,0,0
14154,"Kevin De Bruyne",2010-02-14,0,0,0
14154,"Kevin De Bruyne",2010-02-15,0,0,0
14154,"Kevin De Bruyne",2010-02-16,0,0,0
14154,"Kevin De Bruyne",2010-02-17,0,0,0
14154,"Kevin De Bruyne",2010-02-18,0,1,0
14154,"Kevin De Bruyne",2010-02-19,0,0,0
14154,"Kevin De Bruyne",2010-02-20,0,0,0
14154,"Kevin De Bruyne",2010-02-21,0,0,0
14154,"Kevin De Bruyne",2010-02-22,0,0,0
14154,"Kevin De Bruyne",2010-02-23,0,0,0
14154,"Kevin De Bruyne",2010-02-24,0,0,0
14154,"Kevin De Bruyne",2010-02-25,0,1,1
14154,"Kevin De Bruyne",2010-02-26,0,1,0
14154,"Kevin De Bruyne",2010-02-27,0,0,0
14154,"Kevin De Bruyne",2010-02-28,0,0,0
14154,"Kevin De Bruyne",2010-03-01,0,0,0
14154,"Kevin De Bruyne",2010-03-02,0,3,0
14154,"Kevin De Bruyne",2010-03-03,0,0,0
14154,"Kevin De Bruyne",2010-03-04,0,0,0
14154,"Kevin De Bruyne",2010-03-05,0,0,0
14154,"Kevin De Bruyne",2010-03-06,0,0,0
14154,"Kevin De Bruyne",2010-03-07,0,0,0
14154,"Kevin De Bruyne",2010-03-08,0,0,0
14154,"Kevin De Bruyne",2010-03-09,0,0,0
14154,"Kevin De Bruyne",2010-03-10,0,0,0
14154,"Kevin De Bruyne",2010-03-11,0,0,0
14154,"Kevin De Bruyne",2010-03-12,0,0,0
14154,"Kevin De Bruyne",2010-03-13,0,1,0
14154,"Kevin De Bruyne",2010-03-14,0,0,0
14154,"Kevin De Bruyne",2010-03-15,0,0,0
14154,"Kevin De Bruyne",2010-03-16,0,0,0
14154,"Kevin De Bruyne",2010-03-17,0,0,0
14154,"Kevin De Bruyne",2010-03-18,0,0,0
14154,"Kevin De Bruyne",2010-03-19,0,0,0
14154,"Kevin De Bruyne",2010-03-20,0,1,0
14154,"Kevin De Bruyne",2010-03-21,0,0,2
14154,"Kevin De Bruyne",2010-03-22,0,0,0
14154,"Kevin De Bruyne",2010-03-23,0,0,0
14154,"Kevin De Bruyne",2010-03-24,0,0,0
14154,"Kevin De Bruyne",2010-03-25,0,0,0
14154,"Kevin De Bruyne",2010-03-26,0,0,0
14154,"Kevin De Bruyne",2010-03-27,0,0,0
14154,"Kevin De Bruyne",2010-03-28,0,0,0
14154,"Kevin De Bruyne",2010-03-29,0,0,0
14154,"Kevin De Bruyne",2010-03-30,0,0,0
14154,"Kevin De Bruyne",2010-03-31,0,0,0
14154,"Kevin De Bruyne",2010-04-01,0,1,0
14154,"Kevin De Bruyne",2010-04-02,0,0,0
14154,"Kevin De Bruyne",2010-04-03,0,1,0
14154,"Kevin De Bruyne",2010-04-04,0,0,0
14154,"Kevin De Bruyne",2010-04-05,1,0,0
14154,"Kevin De Bruyne",2010-04-06,3,1,2
14154,"Kevin De Bruyne",2010-04-07,2,2,0
14154,"Kevin De Bruyne",2010-04-08,0,0,0
14154,"Kevin De Bruyne",2010-04-09,0,0,0
14154,"Kevin De Bruyne",2010-04-10,1,0,0
14154,"Kevin De Bruyne",2010-04-11,0,0,0
14154,"Kevin De Bruyne",2010-04-12,0,0,0
14154,"Kevin De Bruyne",2010-04-13,3,7,9
14154,"Kevin De Bruyne",2010-04-14,3,4,10
14154,"Kevin De Bruyne",2010-04-15,0,2,0
14154,"Kevin De Bruyne",2010-04-16,0,0,0
14154,"Kevin De Bruyne",2010-04-17,0,0,0
